sale_id,sale_date,store_id,product_id,quantity
CF-089460,03-03-2022,ST-47,P-6,1
UY-7280,19-01-2023,ST-5,P-89,2
FH-03301,01-04-2021,ST-24,P-7,3
HZ-08759,22-01-2023,ST-71,P-50,10
HX-69185,14-07-2023,ST-46,P-60,1
WJ-91748,31-08-2021,ST-30,P-38,5
OV-817315,17-08-2023,ST-24,P-28,10
DA-80554,28-10-2021,ST-1,P-77,1
GG-61851,02-08-2020,ST-11,P-67,2
NX-14702,27-09-2023,ST-3,P-87,7
VM-675554,06-09-2020,ST-66,P-87,9
MT-427346,21-08-2023,ST-60,P-43,6
IB-7688,02-06-2022,ST-47,P-7,7
NY-96928,16-12-2023,ST-66,P-46,9
LU-5529,20-07-2020,ST-49,P-10,10
GF-95318,18-05-2024,ST-12,P-23,9
LF-640959,13-05-2024,ST-73,P-76,5
AW-10438,12-02-2021,ST-66,P-80,10
DT-322588,18-01-2024,ST-64,P-56,10
QO-495937,09-12-2022,ST-26,P-6,2
FU-1703,27-01-2022,ST-28,P-68,6
LW-002652,03-10-2022,ST-13,P-5,10
MB-059307,27-12-2020,ST-25,P-73,1
MO-2699,25-12-2022,ST-40,P-86,1
ES-0638,20-05-2021,ST-16,P-83,4
JP-56802,24-08-2022,ST-56,P-66,8
LG-349042,27-06-2020,ST-7,P-43,2
PM-07097,15-06-2020,ST-8,P-56,1
EA-10374,15-07-2022,ST-10,P-84,6
VV-1826,27-12-2023,ST-72,P-20,10
HM-179256,19-09-2022,ST-41,P-24,1
MJ-976174,28-08-2022,ST-64,P-86,1
EI-1805,18-03-2022,ST-67,P-65,7
CY-1266,06-03-2022,ST-21,P-38,1
QZ-8123,24-01-2020,ST-48,P-19,9
JQ-4716,21-09-2024,ST-25,P-50,2
EZ-38377,06-07-2020,ST-3,P-87,1
CE-4023,19-11-2020,ST-22,P-19,5
WG-9924,13-03-2023,ST-29,P-89,10
MF-00430,07-10-2021,ST-47,P-70,2
ZH-816293,22-08-2021,ST-59,P-51,9
TH-1819,29-04-2020,ST-49,P-9,10
TM-560436,11-07-2022,ST-56,P-63,10
KN-6492,17-11-2021,ST-14,P-20,8
IA-2796,02-10-2020,ST-69,P-24,4
VJ-59907,01-05-2023,ST-1,P-84,10
CN-16506,26-07-2020,ST-51,P-58,4
EN-088623,28-04-2021,ST-57,P-26,2
PC-87484,19-09-2020,ST-56,P-81,1
GM-79342,23-08-2021,ST-54,P-82,4
FI-3961,14-08-2023,ST-71,P-65,5
PY-570157,25-03-2022,ST-48,P-18,7
JR-4313,19-12-2020,ST-69,P-8,7
XO-0960,03-12-2023,ST-61,P-77,1
KR-8200,18-03-2020,ST-56,P-34,5
AX-040206,12-08-2022,ST-39,P-79,10
LU-581135,23-03-2022,ST-4,P-52,6
PF-8498,13-12-2021,ST-21,P-65,3
AN-5813,25-11-2023,ST-8,P-50,10
CS-2356,23-02-2024,ST-74,P-61,9
OE-97606,21-05-2021,ST-39,P-30,3
EZ-741215,17-04-2020,ST-22,P-51,9
HF-811599,08-04-2020,ST-42,P-77,4
NM-46855,28-05-2021,ST-42,P-38,9
DV-7910,17-02-2022,ST-23,P-40,10
IW-459939,12-11-2024,ST-21,P-27,9
PE-31915,27-04-2022,ST-15,P-85,10
HY-287150,25-12-2020,ST-73,P-3,5
BA-5807,13-07-2021,ST-61,P-26,2
JJ-37707,04-06-2023,ST-13,P-43,9
XB-3192,12-10-2020,ST-59,P-81,10
KH-90301,01-10-2021,ST-59,P-16,6
AQ-02210,09-10-2023,ST-64,P-65,4
HK-353268,27-08-2021,ST-30,P-75,2
VI-38179,01-08-2024,ST-11,P-13,5
CK-1866,24-09-2021,ST-18,P-35,2
FD-03380,17-09-2023,ST-64,P-15,10
CS-39533,08-03-2021,ST-26,P-31,2
VX-73068,22-05-2020,ST-57,P-1,1
CA-20291,18-09-2023,ST-73,P-8,7
NR-48455,11-05-2022,ST-23,P-13,3
PQ-22259,28-03-2020,ST-59,P-78,3
SD-6935,29-09-2023,ST-52,P-22,2
LW-7637,26-07-2023,ST-73,P-81,6
MH-098242,10-07-2021,ST-16,P-32,9
UZ-6943,30-10-2021,ST-52,P-77,3
JO-6268,25-10-2020,ST-22,P-66,2
HJ-77125,11-09-2020,ST-35,P-84,1
DZ-582646,27-12-2020,ST-67,P-46,1
FX-208180,20-07-2020,ST-24,P-61,7
YO-122535,19-02-2024,ST-29,P-35,3
VF-440018,07-03-2024,ST-56,P-22,1
IJ-6236,29-02-2020,ST-1,P-9,2
AP-53386,07-06-2021,ST-71,P-39,10
IY-9639,26-11-2023,ST-69,P-14,7
AN-44590,01-11-2023,ST-2,P-78,10
SX-77845,23-07-2022,ST-53,P-35,7
RN-123744,16-07-2021,ST-59,P-60,9
UL-5820,30-05-2022,ST-40,P-24,3
MH-70351,13-07-2024,ST-43,P-21,7
TB-27086,24-09-2021,ST-11,P-24,8
FS-6074,06-02-2024,ST-54,P-59,2
DA-804180,22-08-2020,ST-7,P-89,1
NL-1945,13-05-2023,ST-20,P-29,3
ZS-00652,14-09-2022,ST-56,P-35,9
FB-4919,03-02-2022,ST-10,P-65,1
NS-503340,31-01-2021,ST-24,P-3,8
DX-260668,05-05-2023,ST-64,P-24,10
TT-2118,21-02-2021,ST-66,P-26,8
FT-0985,11-03-2023,ST-41,P-26,1
GL-0058,12-06-2022,ST-20,P-37,8
UH-0866,14-04-2021,ST-21,P-85,6
VB-863687,15-10-2022,ST-43,P-63,2
AV-987906,15-04-2022,ST-3,P-41,3
NP-192257,12-06-2022,ST-8,P-57,9
HP-3461,31-08-2020,ST-50,P-54,5
KX-46036,09-03-2021,ST-23,P-47,1
TT-288638,17-01-2020,ST-44,P-3,7
KJ-805108,15-03-2024,ST-33,P-64,7
SQ-97299,30-11-2020,ST-7,P-60,8
TB-6897,20-03-2023,ST-21,P-8,6
PS-551951,29-03-2023,ST-17,P-12,2
GI-629856,24-04-2023,ST-74,P-80,1
SP-776956,25-08-2022,ST-43,P-62,8
AG-435341,27-08-2020,ST-38,P-22,3
MY-8173,21-03-2020,ST-66,P-8,8
GP-63453,19-07-2024,ST-47,P-69,8
GI-88508,23-08-2023,ST-25,P-71,3
LY-108661,04-07-2023,ST-3,P-39,1
YA-9797,13-12-2022,ST-49,P-33,3
QS-635227,02-09-2020,ST-20,P-48,4
HE-039131,07-04-2024,ST-16,P-60,8
DK-1823,06-01-2023,ST-39,P-59,8
YM-668149,24-09-2021,ST-14,P-69,9
WG-486826,18-06-2022,ST-45,P-58,3
FF-86121,08-01-2024,ST-38,P-6,9
FH-32834,08-02-2023,ST-20,P-37,5
VO-63217,17-04-2022,ST-59,P-75,2
QJ-16007,19-04-2022,ST-40,P-69,2
EY-3590,20-01-2023,ST-9,P-73,8
CA-04298,04-04-2022,ST-16,P-30,3
TV-662670,18-07-2021,ST-36,P-21,10
MT-27317,07-10-2021,ST-22,P-66,1
II-892220,17-05-2020,ST-67,P-39,8
WH-8812,27-01-2020,ST-40,P-5,1
QE-45708,01-01-2024,ST-30,P-40,9
LR-490399,25-07-2021,ST-44,P-56,3
PI-7071,19-05-2023,ST-45,P-19,4
PF-0388,22-10-2023,ST-68,P-68,8
NG-3209,20-01-2020,ST-35,P-13,1
RV-350105,28-04-2020,ST-12,P-19,4
GU-61990,25-05-2021,ST-47,P-79,3
GL-79140,03-12-2022,ST-55,P-30,2
HF-47997,18-04-2024,ST-11,P-70,10
QL-4324,13-01-2023,ST-67,P-76,9
RK-8610,14-04-2021,ST-37,P-88,9
YI-820248,25-06-2022,ST-49,P-52,6
JI-178921,14-08-2020,ST-66,P-67,6
PK-85385,03-03-2022,ST-2,P-29,9
PF-208334,05-01-2020,ST-58,P-62,9
VU-662153,14-04-2020,ST-15,P-13,3
JZ-224861,10-02-2020,ST-56,P-4,5
NW-841211,08-08-2020,ST-3,P-74,10
WF-804990,14-11-2021,ST-66,P-56,9
II-04801,15-04-2023,ST-34,P-87,6
EO-799921,09-05-2021,ST-6,P-79,7
GF-8181,15-10-2024,ST-73,P-70,4
US-662474,20-03-2024,ST-26,P-73,6
MX-19031,20-01-2021,ST-43,P-32,3
KT-8883,12-07-2024,ST-43,P-29,8
YA-78105,09-03-2021,ST-66,P-76,2
WC-23985,21-12-2020,ST-55,P-77,9
MJ-509731,25-07-2022,ST-57,P-88,10
